keyword,tfidf,count
ISMIP6,1.0,38
MICI,1.0,29
SMB,1.0,21
MISI,1.0,21
Greenland ice sheet,1.0,19
ESL,1.0,16
WAIS,1.0,15
SROCC assessment,1.0,14
sea ice cover,1.0,14
Glaciology,1.0,14
marine ice cliff instability,1.0,13
sea level change,1.0,13
sea level projections,1.0,13
GMSL rise,1.0,12
peak warming,1.0,12
Amundsen Sea Embayment,1.0,12
GMSL projections,1.0,12
tide gauges,1.0,11
Weddell Sea,1.0,11
Nordic Seas,1.0,11
deep convection,1.0,11
peripheral glaciers,1.0,11
ISMIP6 emulator,1.0,11
sea level contribution,1.0,11
Physical Oceanography,1.0,11
surface melt,1.0,10
Glaciers,1.0,10
sea level budget,1.0,10
GlacierMIP,1.0,10
Labrador Sea,1.0,10
calving,1.0,10
Thwaites Glacier,1.0,10
ice shelves,1.0,9
Indonesian Throughflow,1.0,9
CMIP6 ensemble,1.0,9
overturning,1.0,9
subpolar gyre,1.0,9
GMTSL,1.0,9
Antarctic ice sheet,1.0,9
ocean forcing,1.0,9
historical dynamic response,1.0,9
Pine Island Glacier,1.0,9
Antarctic ice shelves,1.0,9
High Mountain Asia,1.0,9
RSL change,1.0,9
extreme sea levels,1.0,8
Antarctic,1.0,8
medium agreement,1.0,8
sea level contributions,1.0,8
tides,1.0,8
Antarctic Peninsula,1.0,8
outlet glaciers,1.0,8
climate forcing,1.0,8
grounding line retreat,1.0,8
West Antarctica,1.0,8
Sea Level Change,1.0,7
heat content,1.0,7
marine ice sheet instability,1.0,7
West Antarctic Ice Sheet,1.0,7
thermal expansion,1.0,7
global average,1.0,7
atmospheric forcing,1.0,7
stratification,1.0,7
sea ice coverage,1.0,7
Antarctic sea ice thickness,1.0,7
melt rates,1.0,7
ocean surface,1.0,6
subtropical gyres,1.0,6
global mean sea level rise,1.0,6
vertical land motion,1.0,6
observational record,1.0,6
Wilkes Subglacial Basin,1.0,6
Southern Ocean warming,1.0,6
global OHC,1.0,6
surface fluxes,1.0,6
mean ocean temperature,1.0,6
SAMW,1.0,6
NADW,1.0,6
AABW,1.0,6
CDW,1.0,6
Agulhas leakage,1.0,6
EBUS,1.0,6
Svalbard,1.0,6
IMBIE Team,1.0,6
median,1.0,6
ice discharge,1.0,6
bedrock topography,1.0,6
Greenland SMB,1.0,6
dynamic response,1.0,6
basal melt rates,1.0,6
glacier,1.0,6
EAIS,1.0,6
2300,1.0,6
SEJ,1.0,6
Southern Andes,1.0,6
parametric fit,1.0,6
Eurasia,1.0,6
tide gauge reconstructions,1.0,6
Last,1.0,6
